"run","SampleID","Input","No Dimers","Amplicons","OutputDada2","OutputPostprocessing","perc_amplicons","group"
"M15","M15_HT04072012-16",129,14,12,8,8,0.0930232558139535,"Sample"
"NS2","NS2_MH-05-AC_HT03052013-11",30877,2900,2810,1988,1988,0.0910062506072481,"Sample"
"M06","M06_HAM16-054-D0",9728127,969972,879343,638299,638299,0.0903918092352207,"Sample"
"M15","M15_HT22122012-06",687,80,60,41,41,0.0873362445414847,"Sample"
"NS1","NS1_MH-02-AC_NC3",7535,819,652,463,463,0.0865295288652953,"NC"
"NS1","NS1_MH-03-AC_2007-3a",2095,213,179,127,127,0.0854415274463007,"Sample"
"M06","M06_HAM16-003-D0",628789,55911,52033,35951,35951,0.0827511295522027,"Sample"
"M06","M06_HAM16-260-D0",255683,22163,20815,13903,13903,0.0814094014854331,"Sample"
"NS2","NS2_MH-07-AC_PC1K",5380,453,432,301,301,0.0802973977695167,"PC"
"NS2","NS2_MH-13-AC_HT25072011-1",1225538,98814,90732,63169,63169,0.0740344240651861,"Sample"
"NS2","NS2_MH-13-AC_HT18022011-1",3018355,230341,223336,154721,154719,0.0739926218088992,"Sample"
"NS1","NS1_MH-03-AC_2007-1a",3683,303,267,212,212,0.0724952484387727,"Sample"
"NS2","NS2_MH-13-AC_HT28072011-2",2324125,172026,165004,111910,111910,0.0709961813585758,"Sample"
"NS2","NS2_MH-02-AC_HAM15-000700",57,6,4,2,2,0.0701754385964912,"Sample"
"M15","M15_NC1",172436,12374,11408,7285,7285,0.0661578788652022,"NC"
"NS1","NS1_MH-02-AC_NC1",11312,806,741,350,350,0.065505657708628,"NC"
"M13","M13_HT04082012-01",47949,3355,3084,2343,2343,0.064318338234374,"Sample"
"NS1","NS1_MH-03-AC_2007-32",3301,257,211,171,171,0.0639200242350803,"Sample"
"NS2","NS2_MH-05-AC_HT27112013-6",39659,2608,2529,1617,1617,0.0637686275498626,"Sample"
"M06","M06_HAM16-500-D0",8899719,644181,562986,403323,403322,0.0632588512064257,"Sample"
"NS2","NS2_MH-13-AC_HT16012011-1",1759697,116531,110786,72829,72829,0.0629574296029373,"Sample"
"M08","M08_HAM15-266-D0",88385,6483,5503,4582,4582,0.0622616959891384,"Sample"
"NS2","NS2_MH-08-AC_PC1K",17777,1417,1100,549,549,0.0618777071496878,"PC"
"NS2","NS2_MH-07-AC_NC1",14590,939,850,622,622,0.0582590815627142,"NC"
"NS1","NS1_MH-02-AC_NC2",6876,426,388,249,249,0.0564281559045957,"NC"
"NS1","NS1_MH-03-AC_2007-5a",3496,229,192,129,129,0.0549199084668192,"Sample"
"M06","M06_HAM16-518-D0",8239844,506198,441097,284743,284743,0.0535322027941306,"Sample"
"NS2","NS2_MH-11-AC_HT12042010-5",94342,5945,4732,766,756,0.0501579360200123,"Sample"
"M15","M15_HT12042013-22",387875,23258,19288,13729,13729,0.049727360618756,"Sample"
"NS1","NS1_MH-03-AC_2007-7a",4907,324,236,178,178,0.0480945587935602,"Sample"
"M03","M03_HAM16-084-D0",5225164,275204,248064,178650,178650,0.0474748735159317,"Sample"
"NS2","NS2_MH-11-AC_HT17062010-4",75891,3697,3571,1845,1845,0.0470543279176714,"Sample"
"NS2","NS2_MH-13-AC_HT17022011-3",2696164,125663,117941,71646,71646,0.0437440007358603,"Sample"
"NS2","NS2_MH-04-AC_HAM14-000337",308387,15298,13375,8726,8726,0.0433708295096745,"Sample"
"M14","M14_NC6",28619,1507,1206,841,841,0.0421398371711101,"NC"
"M09","M09_NC3",443675,23428,18223,15013,15013,0.0410728573843466,"NC"
"NS2","NS2_MH-02-AC_HAM15-000707",4077,189,163,116,116,0.0399803777287221,"Sample"
"M03","M03_HAM16-097-D0",4539898,191346,178512,130555,130555,0.0393207072053161,"Sample"
"M14","M14_NC1",14209,717,555,375,375,0.0390597508621296,"NC"
"NS2","NS2_MH-13-AC_HT11062010-3",2667336,118613,103534,66569,66569,0.0388155073076658,"Sample"
"M13","M13_HT18072012-06",41915,1909,1618,1079,1079,0.0386019324824049,"Sample"
"NS2","NS2_MH-05-AC_HT12072013-4",94868,3776,3610,1798,1798,0.03805287346629,"Sample"
"NS2","NS2_MH-04-AC_HAM14-000539",436,18,16,NA,NA,0.036697247706422,"Sample"
"M09","M09_HAM14-447-D0",158088,7014,5763,4430,4430,0.036454379839077,"Sample"
"NS2","NS2_MH-05-AC_HT01062013-7",38720,1471,1369,651,651,0.0353564049586777,"Sample"
"NS2","NS2_MH-12-AC_NC2",1539,61,54,19,19,0.0350877192982456,"NC"
"M14","M14_NC3",14150,603,452,220,220,0.0319434628975265,"NC"
"M13","M13_HT29082012-03",45342,1731,1447,971,971,0.0319130166291738,"Sample"
"M15","M15_NC6",202448,7853,6088,4056,4056,0.0300719197028373,"NC"
"M08","M08_NC4",148626,6387,4463,3391,3391,0.0300283934170334,"NC"
"M10","M10_NC4",155424,6347,4606,3524,3524,0.0296350627959646,"NC"
"NS2","NS2_MH-03-AC_2005-121",326402,12576,9546,5257,5257,0.029246144325096,"Sample"
"M03","M03_HAM16-076-D0",2183081,70810,63093,46610,46610,0.0289008974014249,"Sample"
"NS1","NS1_MH-02-AC_NC5",2354,155,68,41,41,0.0288870008496177,"NC"
"NS2","NS2_MH-13-AC_NC3",2897209,140953,78648,67,63,0.0271461258059049,"NC"
"M15","M15_NC2",367032,12812,9440,4497,4497,0.0257198282438588,"NC"
"NS2","NS2_MH-13-AC_HT12122011-4",2786536,103465,71020,20523,20523,0.0254868410097698,"Sample"
"NS2","NS2_MH-11-AC_HT07062010-2",42381,1159,1064,328,328,0.0251055897690003,"Sample"
"M14","M14_NC8",46984,1601,1076,599,599,0.0229014132470628,"NC"
"M12","M12_NC6",139184,4353,3097,2171,2171,0.0222511208184849,"NC"
"M15","M15_NC4",351667,11406,7605,3939,3939,0.0216255719188892,"NC"
"M07","M07_NC-D05",756859,24951,15946,7998,8214,0.0210686534744252,"NC"
"M09","M09_NC9",156381,4902,3243,2538,2538,0.020737813417231,"NC"
"M15","M15_NC3",583283,15637,11860,3858,3841,0.0203331830346504,"NC"
"NS1","NS1_MH-03-AC_2005-121",213463,5692,3939,1658,1658,0.0184528466291582,"Sample"
"NS2","NS2_MH-08-AC_NC1",18391,393,335,1,1,0.0182154314610407,"NC"
"NS2","NS2_MH-03-AC_HAM15-000561",17874,369,321,97,97,0.017959046659953,"Sample"
"NS2","NS2_MH-04-AC_NC4",43161,1021,774,111,111,0.0179328560506012,"NC"
"NS2","NS2_MH-12-AC_NC1",3710,77,66,3,3,0.0177897574123989,"NC"
"NS2","NS2_MH-05-AC_NC2",46666,1029,827,2,2,0.0177216817383105,"NC"
"NS2","NS2_MH-05-AC_NC5",39080,787,691,26,25,0.0176816786079836,"NC"
"M13","M13_HT07072012-11",24079,570,425,232,232,0.0176502346442959,"Sample"
"M09","M09_NC4",275685,8192,4805,3425,3425,0.0174293124399224,"NC"
"M12","M12_HT14012013-05",29754,705,513,298,298,0.0172413793103448,"Sample"
"M07","M07_NC-A01",129575,2638,2161,101,101,0.0166775998456492,"NC"
"M09","M09_NC10",43740,1131,724,509,509,0.0165523548239598,"NC"
"M10","M10_NC8",262859,7841,4316,3113,3113,0.0164194492104132,"NC"
"M12","M12_HT23012013-01",8860,205,144,88,88,0.0162528216704289,"Sample"
"NS2","NS2_MH-05-AC_NC3",28961,785,470,26,26,0.0162287213839301,"NC"
"M12","M12_NC2",80016,1728,1270,443,443,0.015871825634873,"NC"
"NS2","NS2_MH-05-AC_NC4",31238,775,492,4,4,0.0157500480184391,"NC"
"NS2","NS2_MH-11-AC_HT29072010-1",125212,2189,1920,124,122,0.0153339935469444,"Sample"
"M12","M12_NC4",142770,3397,2189,1498,1498,0.0153323527351685,"NC"
"NS2","NS2_MH-13-AC_NC2",1921022,38686,28493,64,63,0.0148322091053616,"NC"
"NS2","NS2_MH-13-AC_HT13032011-4",1702054,31759,24507,310,299,0.0143984855944641,"Sample"
"NS2","NS2_MH-13-AC_HT09122010-2",1031553,18721,14468,520,520,0.0140254548239402,"Sample"
"M14","M14_NC4",48416,1103,672,342,342,0.0138797091870456,"NC"
"NS2","NS2_MH-04-AC_NC1",27202,526,377,3,3,0.0138592750533049,"NC"
"M15","M15_NC5",436510,9787,6046,2106,2106,0.0138507708872649,"NC"
"NS2","NS2_MH-05-AC_HAM14-000168",43326,999,589,1,1,0.0135946083183308,"Sample"
"NS2","NS2_MH-04-AC_NC3",3899,82,53,NA,NA,0.0135932290330854,"NC"
"M07","M07_NC-C02",212448,4048,2884,176,176,0.0135750866094291,"NC"
"M09","M09_NC6",50738,1285,682,417,417,0.0134416019551421,"NC"
"NS2","NS2_MH-08-AC_NC2",53235,882,714,NA,NA,0.0134122287968442,"NC"
"M10","M10_NC9",96644,2275,1294,1007,1007,0.0133893464674475,"NC"
"NS1","NS1_MH-03-AC_NC5",283615,5621,3771,75,75,0.0132961937838267,"NC"
"NS2","NS2_MH-13-AC_HT18052011-21",2751637,44836,36061,1076,1076,0.0131052896875569,"Sample"
"NS2","NS2_MH-13-AC_NC1",2398873,45596,31375,118,116,0.013079058374495,"NC"
"NS1","NS1_MH-03-AC_NC4",208568,4230,2716,127,127,0.0130221318706609,"NC"
"NS2","NS2_MH-08-AC_NC4",35989,758,460,1,1,0.012781683292117,"NC"
"M09","M09_NC5",93467,1997,1191,879,879,0.0127424652551168,"NC"
"NS2","NS2_MH-03-AC_HAM15-000210",10854,178,136,50,50,0.0125299428782016,"Sample"
"NS2","NS2_MH-13-AC_HT28022011-1",2687469,46418,33459,1829,1827,0.0124500040744656,"Sample"
"NS2","NS2_MH-03-AC_HAM15-000750",73272,1207,899,23,21,0.012269352549405,"Sample"
"M12","M12_NC5",101642,1641,1219,368,368,0.0119930737293638,"NC"
"NS1","NS1_MH-03-AC_NC2",263036,4277,3123,35,35,0.0118728995270609,"NC"
"NS2","NS2_MH-13-AC_HT06112010-2",1254668,19142,14625,676,674,0.0116564700781402,"Sample"
"M14","M14_NC7",33088,731,384,193,193,0.011605415860735,"NC"
"NS2","NS2_MH-13-AC_HT08042011-3",1918985,32129,22089,204,204,0.0115107726219851,"Sample"
"NS2","NS2_MH-05-AC_NC1",24326,496,277,8,8,0.0113869933404588,"NC"
"NS1","NS1_MH-03-AC_HAM15-000561",13127,182,149,31,31,0.0113506513293212,"Sample"
"NS2","NS2_MH-09-AC_NC2",57958,826,656,2,2,0.0113185410124573,"NC"
"M10","M10_NC2",132603,2956,1478,553,553,0.0111460525025829,"NC"
"NS1","NS1_MH-02-AC_NC4",56282,1093,624,26,26,0.0110870260474041,"NC"
"NS1","NS1_MH-03-AC_HAM15-000750",45741,704,505,11,11,0.0110404232526617,"Sample"
"NS1","NS1_MH-03-AC_NC1",160998,2746,1765,59,58,0.010962869103964,"NC"
"M07","M07_NC-B06",455178,7813,4840,841,841,0.0106332028349349,"NC"
"M10","M10_NC3",103253,2418,1054,680,680,0.0102079358469003,"NC"
"M09","M09_NC7",126322,2549,1281,523,523,0.0101407514130555,"NC"
"M10","M10_NC1",64661,1392,650,391,391,0.010052427274555,"NC"
"NS2","NS2_MH-12-AC_NC3",6121,117,61,12,12,0.0099656918804117,"NC"
"M09","M09_NC8",92305,2025,900,555,555,0.00975028438329451,"NC"
"M12","M12_NC7",115364,2132,1119,415,415,0.00969973301896605,"NC"
"NS2","NS2_MH-07-AC_NC3",51150,893,487,4,4,0.00952101661779081,"NC"
"M11","M11_NC4",272031,7690,2563,1551,1551,0.00942172031864016,"NC"
"M15","M15_HT16072012-11",82436,1312,771,43,43,0.00935270998107623,"Sample"
"NS2","NS2_MH-04-AC_NC2",151031,2270,1369,7,7,0.00906436426958704,"NC"
"NS2","NS2_MH-09-AC_NC3",92760,1587,811,1,1,0.00874299266925399,"NC"
"NS2","NS2_MH-09-AC_NC1",82750,1252,693,2,2,0.00837462235649547,"NC"
"M12","M12_NC3",154023,2677,1259,588,588,0.00817410386760419,"NC"
"M09","M09_NC2",141608,2588,1153,630,630,0.00814219535619456,"NC"
"NS1","NS1_MH-03-AC_HAM15-000210",7638,79,62,10,10,0.00811730819586279,"Sample"
"M08","M08_NC9",256447,4854,2080,1355,1355,0.00811083771695516,"NC"
"NS1","NS1_MH-03-AC_NC3",113484,2245,911,226,226,0.008027563356949,"NC"
"M07","M07_NC-E03",244165,4626,1930,356,356,0.00790449081563697,"NC"
"NS2","NS2_MH-03-AC_HAM15-000636",5341,81,42,17,17,0.00786369593709043,"Sample"
"NS2","NS2_MH-08-AC_NC3",74048,1266,572,1,1,0.0077247191011236,"NC"
"M11","M11_NC1",129032,2540,967,190,190,0.00749426498852998,"NC"
"NS2","NS2_MH-06-AC_NC2",10247,245,76,8,6,0.00741680491851274,"NC"
"M09","M09_NC1",104452,1633,763,297,297,0.00730479071726726,"NC"
"NS2","NS2_MH-07-AC_NC2",17891,468,130,3,3,0.00726622324073557,"NC"
"NS2","NS2_MH-06-AC_NC1",7700,181,55,2,2,0.00714285714285714,"NC"
"M15","M15_HT25092012-01",182477,2748,1287,75,75,0.00705294365865287,"Sample"
"M15","M15_HT06102012-02",269833,4289,1895,119,119,0.00702286228889721,"Sample"
"M11","M11_NC2",118230,2644,824,359,359,0.0069694662945107,"NC"
"M14","M14_NC5",77657,1499,519,192,192,0.00668323525245631,"NC"
"M08","M08_NC6",54265,941,360,149,149,0.00663411038422556,"NC"
"M12","M12_NC8",132355,2042,836,211,211,0.00631634619017037,"NC"
"M08","M08_NC2",40344,654,254,131,131,0.00629585564148324,"NC"
"M10","M10_NC5",124105,2059,718,218,218,0.00578542363321381,"NC"
"M15","M15_HT10082012-02",33385,514,184,6,6,0.00551145724127602,"Sample"
"M08","M08_NC7",254810,3612,1372,100,100,0.0053844040657745,"NC"
"M08","M08_NC1",91933,1346,492,51,51,0.00535172353779383,"NC"
"M10","M10_NC6",189681,3282,1001,499,499,0.00527728133023339,"NC"
"M11","M11_NC3",130697,2848,603,261,261,0.00461372487509277,"NC"
"M08","M08_NC10",74599,944,306,132,132,0.00410193166128232,"NC"
"M08","M08_NC5",61415,832,239,128,128,0.0038915574371082,"NC"
"NS1","NS1_MH-03-AC_HAM15-000636",4544,32,14,5,5,0.00308098591549296,"Sample"
"M08","M08_NC8",232850,3390,659,116,116,0.00283014816405411,"NC"
"M08","M08_NC3",173153,2561,489,198,198,0.0028240919880106,"NC"
"M14","M14_PC2",2,0,0,NA,NA,0,"PC"
"NS2","NS2_MH-04-AC_HAM14-000235",73,0,0,NA,NA,0,"Sample"
"NS2","NS2_MH-05-AC_HAM14-000524",1,0,0,NA,NA,0,"Sample"
