"run","SampleID","Input","No Dimers","Amplicons","OutputDada2","OutputPostprocessing","perc_amplicons","group"
"NS2","NS2_MH-11-AC_HT11072010-1",291243,127758,127259,108377,108377,0.436951274365392,"Sample"
"M04","M04_HAM16-286-D0",6373330,2788040,2772785,2358927,2358927,0.435060635491964,"Sample"
"M09","M09_HAM14-429-D0",267457,117930,116345,100667,100667,0.435004505397129,"Sample"
"M15","M15_HAM15-036-D0",327658,143681,141383,116808,116808,0.431495644849202,"Sample"
"M11","M11_HT15052010-03",355002,156169,153053,127695,127695,0.431132782350522,"Sample"
"M10","M10_HT22032012-02",313796,137335,135005,114055,114055,0.43023174291578,"Sample"
"M14","M14_HT05012011-03",154,69,66,33,33,0.428571428571429,"Sample"
"M10","M10_HT26032012-01",349781,152079,149228,128048,128048,0.426632664438606,"Sample"
"M07","M07_HAM15-026-D0",535896,231037,227964,196004,196004,0.425388508218012,"Sample"
"M07","M07_HAM16-465-D0",407510,175026,173223,148002,148002,0.425076685234718,"Sample"
"M13","M13_NC3",194054,83319,82290,64006,64006,0.424057221185855,"NC"
"M14","M14_HAM14-144-D0",100821,43540,42505,35073,35073,0.421588756310689,"Sample"
"NS1","NS1_MH-03-AC_HAM15-000728",210555,89456,88685,73304,73304,0.421196361995678,"Sample"
"M07","M07_HAM15-360-D0",509592,217521,214125,184541,184541,0.420189092450431,"Sample"
"NS2","NS2_MH-13-AC_HT23052011-2",6548,2785,2726,1808,1805,0.416310323762981,"Sample"
"M13","M13_HT13072012-08",177986,74540,73421,62301,62301,0.412509972694482,"Sample"
"M05","M05_HAM16-111-D0",233,99,96,71,71,0.412017167381974,"Sample"
"M08","M08_HAM15-555-D0",415997,172100,169285,143430,143430,0.406938030803107,"Sample"
"NS2","NS2_MH-05-AC_HT31052013-6",45730,18575,18490,15389,15389,0.404329761644435,"Sample"
"M08","M08_HAM15-641-D0",401925,165086,162171,137569,137569,0.403485724948684,"Sample"
"NS2","NS2_MH-13-AC_HT08122010-1",2579732,1045707,1039632,869440,869426,0.403000001550549,"Sample"
"M15","M15_HT03032013-04",833913,340418,335555,275937,275937,0.402386100228681,"Sample"
"M09","M09_PC1",308733,125137,123175,106268,106268,0.398969335963438,"PC"
