sampleID,Run,Lib_plate,Lib_plate_pos,Lib_condition,qPCR_Ct,qPCR_Quantity,Type,DNA_Plate_No,Micronix,RackID,Index_plate,Lib_pool
M10_HT07032012-05,M10,P04,C05,"1A5 & 2, 15 cycles",19.01,34665.6745,DBS,NA,NA,NA,NA,NA
M14_HT07032012-05,M14,P10,A10,"1A5 & 2, 15 cycles",19.01,34665.6745,DBS,NA,NA,NA,NA,NA
M11_HT07042010-03,M11,P05,E12,"1A5 & 2, 15 cycles",18.43,43392.24257,DBS,NA,NA,NA,NA,NA
M14_HT07042013-02,M14,P10,A03,"1A5 & 2, 15 cycles",22.28,4562.139542,DBS,NA,NA,NA,NA,NA
M11_HT07052010-01,M11,P05,B07,"1A5 & 2, 15 cycles",24.32,1002.482975,DNA,NA,NA,NA,NA,NA
M12_HT07072012-01,M12,P06,B07,"1A5 & 2, 20 cycles",29.5,102.3516,DNA,NA,NA,NA,NA,NA
M13_HT07072012-05,M13,P07,A07,"1A5 & 2, 20 cycles",33.54,9.8579,DNA,NA,NA,NA,NA,NA
M15_HT07072012-06,M15,P11,E05,"1A5 & 2, 20 cycles",32.06,23.1552,DNA,NA,NA,NA,NA,NA
M13_HT07072012-11,M13,P07,H11,"1A5 & 2, 20 cycles",30.08,72.8666,DNA,NA,NA,NA,NA,NA
M12_HT08012013-02,M12,P06,A09,"1A5 & 2, 20 cycles",27.08,181.1102036,DNA,NA,NA,NA,NA,NA
M09_HT08022011-02,M09,P04,F12,"1A5 & 2, 15 cycles",18.44,50080.2458,DBS,NA,NA,NA,NA,NA
M09_HT08022011-03,M09,P04,F08,"1A5 & 2, 15 cycles",21.94,4666.6,DBS,NA,NA,NA,NA,NA
M10_HT08032013-03,M10,P03,E12,"1A5 & 2, 15 cycles",18.56,46348.0361,DBS,NA,NA,NA,NA,NA
M11_HT08102010-02,M11,P05,G08,"1A5 & 2, 15 cycles",22.67,2788.315734,DNA,NA,NA,NA,NA,NA
M14_HT08102010-03,M14,P10,A05,"1A5 & 2, 15 cycles",22.44,3215.657531,DNA,NA,NA,NA,NA,NA
